unix timestamp	doserate (uSv/h)	lat	lng	horizontal accuracy (radius of 68% confidence [m])	marker type (2-circle, 1-marker)	SE (1 Пѓ)[%]
1563519569	0.3707	53.664745331	37.133777618	9	2	11.май
1563519571	0.3930	53.664764404	37.133762360	9	2	10.июл
1563519573	0.3528	53.664775848	37.133735657	8	2	11.мар
1563519577	0.3081	53.664791107	37.133697510	9	2	12.янв
1563519581	0.3885	53.664798737	37.133636475	8	2	10.июл
1563519583	0.3796	53.664798737	37.133598328	8	2	11.июн
1563519585	0.3305	53.664794922	37.133563995	9	2	11.июн
1563519589	0.3394	53.664794922	37.133533478	9	2	11.май
1563519593	0.3037	53.664772034	37.133544922	8	2	12.апр
1563519615	0.3439	53.664787292	37.133560181	8	2	11.апр
1563519619	0.3372	53.664802551	37.133579254	7	2	11.сен
1563519623	0.3193	53.664821625	37.133590698	7	2	12.фев
1563519627	0.3215	53.664840698	37.133636475	8	2	11.авг
1563519641	0.3394	53.664855957	37.133598328	7	2	11.июн
1563519663	0.3037	53.664833069	37.133617401	6	2	12.янв
1563519667	0.3215	53.664825439	37.133647919	7	2	11.авг
1563519679	0.3349	53.664836884	37.133625031	4	2	11.май
1563519703	0.3841	53.664829254	37.133659363	6	2	10.авг
1563519707	0.2858	53.664798737	37.133678436	7	2	12.июл
1563519711	0.2724	53.664779663	37.133663177	7	2	13.май
1563519715	0.3751	53.664760590	37.133712769	8	2	10.сен
1563519721	0.2925	53.664749146	37.133739471	7	2	12.июн
1563519723	0.3885	53.664730072	37.133762360	8	2	10.июл
1563519727	0.3416	53.664710999	37.133811951	9	2	11.сен
1563519729	0.3327	53.664688110	37.133842468	8	2	12.0
1563519733	0.3394	53.664665222	37.133876801	8	2	11.авг
1563519737	0.3260	53.664646149	37.133899689	8	2	11.сен
1563519741	0.3483	53.664672852	37.133899689	8	2	11.мар
1563519779	0.3081	53.664672852	37.133934021	7	2	12.янв
1563519791	0.2702	53.664691925	37.133934021	7	2	12.сен
1563519795	0.3171	53.664691925	37.133876801	7	2	11.сен
1563519797	0.3796	53.664699554	37.133850098	8	2	11.июн
1563519801	0.3975	53.664726257	37.133827209	7	2	10.июн
1563519805	0.3260	53.664756775	37.133804321	8	2	11.июл
1563519809	0.3059	53.664787292	37.133773804	8	2	12.мар
1563519813	0.3662	53.664806366	37.133739471	7	2	11.0
1563519817	0.3528	53.664806366	37.133686066	7	2	11.мар
1563519821	0.3439	53.664817810	37.133651733	7	2	11.апр
1563519825	0.3327	53.664840698	37.133628845	8	2	12.янв
1563519831	0.3439	53.664859772	37.133617401	7	2	11.апр
1563520009	0.3841	53.664867401	37.133590698	7	2	10.авг
1563520025	0.3930	53.664859772	37.133625031	7	2	10.июл
1563520061	0.2054	53.664875031	37.133663177	12	2	15.янв
1563522461	0.4198	53.664859772	37.133640289	2	2	10.мар
1563522487	0.3439	53.664848328	37.133613586	6	2	11.авг
1563522491	0.2746	53.664844513	37.133583069	7	2	12.апр
1563522495	0.3528	53.664844513	37.133537292	8	2	11.мар
1563522505	0.2858	53.664840698	37.133472443	8	2	13.янв
1563522517	0.2679	53.664821625	37.133487701	8	2	12.июл
1563522591	0.2054	53.664833069	37.133464813	5	2	14.июн
1563522761	0.1876	53.664848328	37.133510590	11	2	15.июн
1563522807	0.1570	53.664844513	37.133449554	10	2	16.сен
1563522839	0.1496	53.664848328	37.133491516	13	2	16.0
1563522853	0.2010	53.664825439	37.133495331	13	2	14.апр
1563522895	0.2679	53.664840698	37.133476257	7	2	13.май
1563522901	0.2724	53.664844513	37.133537292	6	2	12.авг
1563522905	0.3841	53.664840698	37.133602142	7	2	10.авг
1563522909	0.3081	53.664829254	37.133644104	6	2	12.июн
1563522913	0.3908	53.664817810	37.133689880	8	2	11.мар
1563522917	0.2791	53.664794922	37.133705139	8	2	12.май
1563522921	0.3885	53.664772034	37.133701324	6	2	10.июл
1563522925	0.3305	53.664756775	37.133754730	5	2	12.0
